tbg_player_id,transfermarkt_id,display_name,full_name,short_name,aliases,nickname,age,status,nationality,position,position_group,current_club,current_competition_code,market_value_eur,tbg_rating,underlying_ability_rating,effective_match_rating,current_state_total_modifier,smw_equivalent_rating,rating_band,assignment_status,tbg_club_name,profile_url
tbg-tm-01255573,1255573,Ryan Kavuma-McQueen,Ryan Kavuma-McQueen,R. Kavuma-McQueen,R. Kavuma-McQueen,,17,active,England; Uganda,Right Winger,ATT,Portsmouth FC,GB2,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/ryan-kavuma-mcqueen/profil/spieler/1255573
tbg-tm-01143430,1143430,Ryan Metu,Ryan Metu,Ryan Metu,Ryan Metu,,17,active,Netherlands,Left Winger,ATT,FC Groningen,NL1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/ryan-metu/profil/spieler/1143430
tbg-tm-01441672,1441672,Timéo Kerckhofs,Timéo Michaël Kerckhofs,T. Kerckhofs,T. Kerckhofs,,17,active,Belgium,Attacking Midfield,MID,RAAL La Louvière,BE1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/timeo-kerckhofs/profil/spieler/1441672
tbg-tm-01407404,1407404,Van Parker,Van Ethan Paul Parker,Van Parker,Van Parker,,17,active,Canada; United States,Right Winger,ATT,Real Salt Lake City,MLS1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/van-parker/profil/spieler/1407404
tbg-tm-01297638,1297638,Xavier Mandza,Xavier Mandza Tsiendi,X. Mandza,X. Mandza,,17,active,France; Gabon,Central Midfield,MID,OGC Nice,FR1,0,79,79,79,0,79,development,unsigned,,https://www.transfermarkt.com/xavier-mandza/profil/spieler/1297638
tbg-tm-00990148,990148,Konstantinos Karetsas,Κωνσταντίνος Καρέτσας,K. Karetsas,K. Karetsas,,18,active,Greece; Belgium,Attacking Midfield,MID,,,35000000,88,88,88,0,87,first_team,unsigned,,https://www.transfermarkt.com/konstantinos-karetsas/profil/spieler/990148
tbg-tm-01105541,1105541,Nathan De Cat,Nathan De Cat,N. De Cat,N. De Cat,,18,active,Belgium,Central Midfield,MID,TSG 1899 Hoffenheim,L1,27000000,87,87,87,0,87,first_team,unsigned,,https://www.transfermarkt.com/nathan-de-cat/profil/spieler/1105541
tbg-tm-01241207,1241207,Tylel Tati,Tylel Tati,Tylel Tati,Tylel Tati,,18,active,France; Senegal,Centre-Back,DEF,FC Nantes,FR2,25000000,87,87,87,0,87,first_team,unsigned,,https://www.transfermarkt.com/tylel-tati/profil/spieler/1241207
tbg-tm-01241211,1241211,Rudy Matondo,Rudy Nzingoula Matondo,R. Matondo,R. Matondo,,18,active,France; Congo,Central Midfield,MID,Paris FC,FR1,20000000,86,86,86,0,86,senior_squad,unsigned,,https://www.transfermarkt.com/rudy-matondo/profil/spieler/1241211
tbg-tm-01073748,1073748,Kacper Potulski,Kacper Potulski,K. Potulski,K. Potulski,,18,active,Poland,Centre-Back,DEF,1.FSV Mainz 05,L1,18000000,85,85,85,0,85,senior_squad,unsigned,,https://www.transfermarkt.com/kacper-potulski/profil/spieler/1073748
